country,coverage_months,observed_months,total_events,events_per_month,global_share,fatalities_per_event,baseline_std
UA,103,103,328634,3190.621359223301,0.10668778126008413,0.8005227700116239,2360.3237729052853
IN,127,127,212915,1676.4960629921259,0.06912075119126693,0.06521381772068666,535.7661358715244
SY,115,115,152009,1321.817391304348,0.04934822003068499,0.9437138590478196,642.9917246422477
MX,103,103,121793,1182.4563106796118,0.03953889415888017,0.5770610790439517,250.31447315304015
PK,199,199,116543,585.643216080402,0.03783453352785769,0.49356889731687015,253.1539312478472
BR,103,103,114779,1114.3592233009708,0.037261868355834143,0.5505362479199156,415.9192148587477
YE,139,139,114109,820.9280575539568,0.03704435947530365,1.4665714360830433,260.0929452100258
MM,199,199,108188,543.6582914572864,0.03512216532363049,1.0122009834732133,686.9666584106795
US,79,79,103638,1311.873417721519,0.03364505277674434,0.005065709488797546,812.2216659322984
PS,127,127,96038,756.2047244094488,0.031177787863264177,0.7578770903184157,612.9638123521408
AF,115,115,69711,606.1826086956522,0.022630987418896784,2.9293081436215234,499.0044799417039
IQ,127,127,68680,540.7874015748032,0.022296283454975988,1.5695253348864298,233.68157990342664
RU,103,103,60825,590.5339805825242,0.019746235310846162,0.1255076037813399,681.58528539905
SO,353,346,57057,161.6345609065156,0.018522991337952315,1.655923024344077,141.83264145574628
NG,354,354,50650,143.07909604519773,0.0164430220878645,2.841401776900296,180.48855375785175
TR,127,127,50526,397.84251968503935,0.016402766712960346,0.1921980762379765,206.53811015883218
KR,103,103,47809,464.1650485436893,0.01552071950639119,2.0916563826894516e-05,126.43461006803436
TF,79,79,47178,597.1898734177215,0.015315871590548298,0.0012505828988087669,326.8104035942741
CD,353,353,45911,130.05949008498584,0.01490455255826154,2.1693929559364857,151.87257733721637
LB,127,127,43867,345.40944881889766,0.014240988152583454,0.19290126974719038,537.625625009286
IR,127,127,41630,327.79527559055117,0.01351476820370778,0.8073985106894067,334.50961495503384
SD,355,355,40354,113.67323943661972,0.013100527410339268,3.6322545472567773,171.78804575451093
CO,103,103,38040,369.3203883495146,0.012349310172208599,0.42676130389064143,181.4892124742112
BD,199,199,35314,177.4572864321608,0.011464341204557688,0.23789431953332957,113.45314014923508
IT,79,79,29550,374.0506329113924,0.009593115551755103,0.00013536379018612522,219.60170497679053
VE,103,103,29505,286.45631067961165,0.009578506746346338,0.46534485680393156,129.58925227361843
DE,79,79,28064,355.24050632911394,0.009110700333145691,0.0019954389965792475,228.0793896420509
ID,139,139,26976,194.07194244604315,0.008757491882373795,0.07176749703440095,150.68728113144803
NP,198,198,26216,132.40404040404042,0.008510765391025778,0.015067134574305767,123.44421053653454
ES,79,79,26041,329.63291139240505,0.008453953369991695,0.00030720786452133173,148.13449048506777
ZA,354,353,24928,70.4180790960452,0.00809262891621493,0.14297175866495507,70.70328955128096
CM,353,249,24742,70.09065155807366,0.008032245853858705,0.8199013822649746,134.6602176537512
KE,354,353,21431,60.53954802259887,0.006957362415893861,0.7359432597638934,85.4546489286834
IL,127,127,20976,165.16535433070865,0.006809651161205246,0.10092486651411137,180.74477432375988
AR,103,103,19513,189.44660194174756,0.006334702665360315,0.0067647209552605956,82.76821398178623
PH,127,127,19142,150.7244094488189,0.00621426118076806,0.9737227040016717,101.20795440132197
AZ,102,102,19039,186.65686274509804,0.006180823248388,0.4095803351016335,248.05927087022457
ET,354,339,18682,52.77401129943503,0.006064926725478471,4.560486029333048,81.18076225772727
CN,103,103,18243,177.11650485436894,0.005922409712712972,0.0059200789343857915,88.10610339667237
EC,103,103,17599,170.8640776699029,0.005713341475307548,0.7527700437524859,177.29932173103546
SS,182,181,17440,95.82417582417582,0.005661723696196581,3.0311926605504587,60.80930260791841
CL,103,103,16199,157.27184466019418,0.005258845307034886,0.015062658188777086,160.92355986585122
MA,354,297,16115,45.5225988700565,0.005231575536938527,0.026000620539869686,86.71712436873467
ML,354,247,15404,43.51412429378531,0.0050007564114800535,2.0990002596728123,66.00724214200736
BF,353,225,14559,41.243626062322946,0.004726435509915483,2.415001030290542,70.59365924544406
BH,127,127,14488,114.07874015748031,0.004703386061381655,0.0017945886250690225,110.16577389096614
JP,103,103,14485,140.63106796116506,0.004702412141021071,6.903693476009665e-05,53.44882141366584
TH,199,199,13477,67.72361809045226,0.004375174899864755,0.2572530978704459,43.545724769526934
PE,103,103,13274,128.873786407767,0.004309272955465219,0.028326050926623474,144.495686743947
HT,103,103,13231,128.45631067961165,0.004295313430296844,1.2285541531252362,77.99549111924743
LY,355,231,13214,37.222535211267605,0.004289794548253533,1.8288935976994096,53.587349245941496
DZ,354,351,12869,36.35310734463277,0.004177793706786342,1.0747532830833786,53.93747325763282
EG,355,305,12188,34.332394366197185,0.0039567137849337115,1.2671480144404332,56.198611016487796
HN,103,103,12080,117.28155339805825,0.003921652651952678,0.49403973509933774,41.46408376230143
TN,343,220,11827,34.481049562682216,0.003839518701543404,0.07550519996617908,48.99734111969029
BI,354,341,11304,31.93220338983051,0.0036697319186815456,2.182855626326964,37.76414962421355
GT,103,103,10928,106.09708737864078,0.0035476672334883164,0.589586383601757,71.53782549779893
CA,67,67,9949,148.49253731343285,0.0032298445558176484,0.002010252286661976,56.351342707209064
UG,355,353,9877,27.822535211267606,0.003206470467163626,1.6866457426344033,25.35860104764911
FK,79,79,9741,123.30379746835443,0.003162319410817139,0.0014372241043014065,70.05212425159934
LK,199,199,9403,47.25125628140704,0.00305259105019131,0.05668403700946507,37.62973786499968
CF,355,323,9263,26.092957746478874,0.0030071414333640444,2.1595595379466697,30.55108547410553
BO,103,103,9197,89.29126213592232,0.0029857151854311903,0.018158095030988367,60.579023423867916
PL,79,79,9074,114.86075949367088,0.002945784450647235,0.001763279700242451,129.04338728487724
GR,103,103,8106,78.69902912621359,0.002631532814298709,0.05650135701949174,69.41011299130099
SE,79,79,7888,99.84810126582279,0.0025607612680962517,0.0002535496957403651,34.50668201942553
RS,103,103,7540,73.20388349514563,0.002447786506268476,0.004111405835543766,97.3248348576256
TW,103,103,7487,72.68932038834951,0.0024305805798981537,0.0,37.38231478602454
AM,103,103,7444,72.27184466019418,0.002416621054729779,0.04124126813541107,62.55501565802593
PY,103,103,7073,68.66990291262135,0.002296179570137524,0.020359112116499364,47.37546543553206
ZW,350,344,6822,19.49142857142857,0.0022146948999686397,0.09484022280856054,24.284237938319126
NE,354,263,6015,16.991525423728813,0.00195271032297147,2.2121363258520366,28.293107432404046
KZ,103,103,5840,56.699029126213595,0.0018958983019373872,0.049143835616438356,32.41443851588552
MZ,350,262,5756,16.445714285714285,0.0018686285318410276,1.374739402362752,28.642449444907495
GE,103,103,5654,54.89320388349515,0.0018355152395811622,0.0017686593562079944,30.005149273733235
NL,79,79,5608,70.9873417721519,0.0018205817940522035,0.0007132667617689016,32.41327032148754
BE,79,79,5467,69.20253164556962,0.0017748075371047426,0.0016462410828608012,41.084161766076605
BG,103,103,5089,49.407766990291265,0.001652093571671124,0.0005895067793279622,37.5299070110277
SL,354,246,5011,14.155367231638419,0.0016267716422959327,0.06525643584114947,37.99354891726249
MG,348,233,4990,14.339080459770114,0.001619954199771843,0.9074148296593186,22.203214307645354
SV,103,103,4608,44.737864077669904,0.0014959416738574453,0.6664496527777778,32.233360625063725
AU,66,66,4508,68.3030303030303,0.0014634776618379695,0.00510204081632653,25.250244341433845
AO,355,268,4224,11.898591549295775,0.0013712798677026582,34.15838068181818,25.172774768895906
BY,103,102,4156,40.349514563106794,0.0013492043395294147,0.0052935514918190565,85.0174977692758
